RegionName,RegionType,StateName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Sioux Falls, SD",Msa,SD,162460.25,160637.5,162209.4167,167647.5833,173082.1667,180376.75,190707.3333,203007,214125.3333,224479
"Charleston, WV",Msa,WV,100207.5833,99480.83333,97542.33333,97381.5,98263.83333,98927.5,102688.0833,102950.1667,100954.6667,100289.3333
"Appleton, WI",Msa,WI,147680.25,140269.75,136222.5833,141543,143751,149640.75,153573.9167,164339.1667,176188.5,186946.5
"Chico, CA",Msa,CA,216927.1667,199175.6667,190908.8333,214180.25,230843.3333,237154.5833,252106.4167,267716.5,289673.5,325979.5
"Charlottesville, VA",Msa,VA,267516.6667,259148.5833,257372.25,262153.1667,267661,271171.5833,276354.5833,286751.6667,298676,309354.9167
"Claremont, NH",Msa,NH,185337.9167,181648.3333,180842.4167,183406.5,188342.8333,193312.1667,197406.25,205134.6667,213154.3333,222583.5833
"Barnstable Town, MA",Msa,MA,379642.4167,365749.9167,351692.0833,365969.6667,375245.8333,383463.25,393513.75,415412.6667,434950.75,443946.3333
"Longview, TX",Msa,TX,116589.75,115502.8333,117347.4167,122612.5833,130853.9167,139218.9167,147589.4167,153042.5,150968.5,163027.5
"Burlington, VT",Msa,VT,252630.5,255618,253943.75,257019.3333,260934.1667,265788.3333,269618.1667,283894,294819,305758.25
"Prescott, AZ",Msa,AZ,202500.5833,182113.3333,181211.25,205096.3333,229237.75,239327.6667,253566.8333,274328.4167,295997.0833,311974.6667
"Springfield, IL",Msa,IL,123938.9167,124018.25,126172.5,127852.9167,130787.75,130934.5833,132355.4167,133596.6667,134493.3333,136102.5
"Tyler, TX",Msa,TX,136653.3333,133268.5,132863.1667,136848.6667,143106.25,150506.75,157890.0833,163128.75,170059.5,176934.75
"Las Cruces, NM",Msa,NM,189890.5,172158.6667,165200.5833,163712.1667,166536.75,163181.9167,162877.0833,165618.1667,173247.25,186122.75
"Fargo, ND",Msa,ND,179514.6667,175062.25,170037.8333,179905,191198.1667,207133,220205.9167,223763.5833,227265.0833,228549.6667
"Houma, LA",Msa,LA,135743.4167,135940.8333,135929.25,136048.75,139711.5,144682.5833,147781.4167,151166.8333,153934.9167,161908.5
"Rochester, MN",Msa,MN,169057.4167,158385.0833,161700.1667,167096.0833,175015.25,181483.3333,195648.6667,210504.0833,224685.5833,235334.8333
"Florence, SC",Msa,SC,104821.4167,100974.3333,101303.75,101929.9167,105299.9167,108362.5833,111272.25,114406.5833,119566.1667,121433
"Medford, OR",Msa,OR,225669.75,204796.1667,193223.3333,218245.9167,235905.5,250206.5833,266919.5,292861.6667,311931.1667,319359.0833
"Lafayette-West Lafayette, IN",Msa,IN,126515.6667,123180,121922.5833,124078.0833,128539.5,131751.1667,137702.4167,145353.9167,155164.4167,164333.4167
"Bellingham, WA",Msa,WA,273747.3333,261078.75,252065.6667,267952.9167,275107.5,287875.0833,310380.3333,346285.6667,381054.3333,412191.0833
"Lake Havasu City, AZ",Msa,AZ,148842.4167,137631.1667,139977.8333,152332.6667,166419.6667,172890,181249.6667,193122.9167,211166.8333,231279.8333
"Saginaw, MI",Msa,MI,84634.41667,77948.16667,74375.83333,78240.66667,78451.66667,77806.75,77310.5,85732.58333,91133.41667,97761.83333
"Lake Charles, LA",Msa,LA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,179111.8,178629.3333,178369.5833
"Johnson City, TN",Msa,TN,124682,122346.9167,121352.3333,123566.25,126748.25,128784.9167,133556.6667,139447.0833,146847.0833,152483.5833
"Elkhart, IN",Msa,IN,118167.75,114532,113444.4167,116683.25,122598.5,128967.6667,135931.1667,144211.5833,153193.8333,163777.25
"Yuma, AZ",Msa,AZ,144699.25,123408.4167,118072.5,124106.5,132301.1667,135812.5833,138904.8333,147444.6667,155314.25,161598.25
"Racine, WI",Msa,WI,127514.5833,111560.3333,108836.1667,113843.5833,124330.1667,127440.5,130829.9167,140721.75,152820,165763
"Athens, GA",Msa,GA,150531.25,140915.5833,129308,141858.9167,148264.1667,155550.9167,163336.1667,175184.25,190888.75,205208.0833
"Torrington, CT",Msa,CT,248074.6667,242793.0833,215564.5,228648.9167,228993,229912.9167,230120.5833,234213.25,240939.8333,243581.5
"St. Cloud, MN",Msa,MN,168286.6667,151973.4167,159137.8333,163328.9167,172643.5,171986.25,182481.4167,192291.9167,203770.4167,214230
"Hilton Head Island, SC",Msa,SC,278501.3333,258099.6667,247701.3333,255200.25,268530.5,278466.5833,290901.1667,295030.5833,305950.8333,315490.6667
"Bloomington, IL",Msa,IL,152433.9167,147496.3333,144867.8333,148308,150879.4167,150047.0833,149728.5,151580.25,152697.1667,152303.25
"Hilo, HI",Msa,HI,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,325011.2,342362.5,360807.75,364683.5833,379081.25
"Panama City, FL",Msa,FL,181337.75,164719.8333,159967.5,166603.0833,177549.3333,184713.4167,192862.9167,201035.4167,217344.6667,223918
"Kingston, NY",Msa,NY,227451.25,211968,200808.1667,199431.9167,205114.9167,208222.8333,203338.0833,212082.1667,224339.1667,242526.8333
"Daphne, AL",Msa,AL,173061.5,158529.5833,154304.5833,159810.3333,166581.6667,172993.25,179266.9167,184424.1667,201916.6667,218547.8333
"Gainesville, GA",Msa,GA,163791.1667,142337.0833,144490.5,153449.5,176064.75,182207.8333,195480.8333,209371.8333,224442.0833,236494.25
"Warner Robins, GA",Msa,GA,126919.5,121377.75,118878,119980.5833,122903.25,122952.25,127216.3333,129878.5,137496.1667,144536.5833
"Blacksburg, VA",Msa,VA,160854.4167,158104.0833,159177.9167,163560,166925.9167,167369.3333,170109.8333,175782.5,183318.1667,193559.25
"Jacksonville, NC",Msa,NC,173455,172570.9167,166995.1667,157353.5833,145741.8333,143336.5,140918.9167,143050.8333,151677.9167,164619.1667
"Redding, CA",Msa,CA,134880.9167,125546.3333,122941.25,144445.9167,183168.8333,209676.6667,234605.9167,249618.9167,262296.3333,277093.5
"Monroe, LA",Msa,LA,120814.6667,117609.5,116953,116922.8333,119493.4167,126294,129975.75,133477.4167,135335.9167,136742.5
"Joplin, MO",Msa,MO,83013.5,82009.33333,83845.91667,88693.91667,99706.33333,108764,111586.3333,115617.6667,122474.75,129469.5
"El Centro, CA",Msa,CA,123987.75,117589.1667,127221.75,134617.5,155266.0833,177641.5833,187142.0833,196000.4167,208891.9167,218083.3333
"Terre Haute, IN",Msa,IN,78420.91667,77477.83333,77523.25,77976.25,79179.16667,81222.66667,83289.91667,86040.25,91589.08333,95719.5
"Muskegon, MI",Msa,MI,89244.66667,82710.25,82691,89142.33333,93043.75,99300.16667,106986.75,116357.25,129698.8333,142904.3333
"East Stroudsburg, PA",Msa,PA,175582,162002.5,149592.9167,144807.1667,143429.1667,142824.6667,142722.4167,148249.9167,158375.4167,170366.25
"Sioux City, IA",Msa,IA,102954.75,103219.0833,106150.5,109173.25,113440.5833,119260.5833,122130.75,133321.0833,138831.4167,145045.1667
"Greenville, NC",Msa,NC,132555.5,129187.6667,125896,124308.8333,125334.5833,125247.3333,126321,130481.0833,135822.75,142852.9167
"Waterloo, IA",Msa,IA,123511.1667,121207.5833,123764.5,126035.4167,129177.1667,130813.0833,132392,133541.75,137364.0833,141579.25
"Oshkosh, WI",Msa,WI,122904.5,109612.5833,107877.25,112803.1667,119235.0833,119940.1667,126092.4167,134931.3333,143800.4167,151412.5833
"Yuba City, CA",Msa,CA,180159,172649.4167,173509.25,194754.75,214218.5833,218627.75,233667.1667,260590.1667,286158.0833,302201.3333
"Abilene, TX",Msa,TX,101174,97780.66667,99716.83333,102033.75,107867.5833,110840.25,116869,121564.5,128145.8333,133755.6667
"Columbia, MO",Msa,MO,166062.9167,164175.9167,166387,168869.9167,172491.6667,176100.75,179492.1667,188272.4167,191131.6667,196440.75
"Dover, DE",Msa,DE,210171.0833,197872,188889.75,187043.6667,193672.4167,200005,206712.1667,210143.1667,219087.25,228832.8333
"Eau Claire, WI",Msa,WI,132617.5833,127108.0833,124776.6667,132297,136449.5,139569.0833,148121.4167,158537.0833,171045.5833,178814.9167
"Janesville, WI",Msa,WI,#DIV/0!,#DIV/0!,98164.75,102752.75,107719.5,112077,117999.75,129948.8333,140345.6667,148574
"Jackson, MI",Msa,MI,95507,90285.16667,84222.83333,95576.33333,109917.5833,112851.9167,118902.5,124264.4167,137513.5,148955.3333
"Punta Gorda, FL",Msa,FL,139592.4167,126978.6667,129053.0833,144930.5833,158898.3333,172642.4167,190607.9167,204811.9167,216385.75,226184.6667
"Bloomington, IN",Msa,IN,153651.5,149199.5,149682.25,152701.3333,156180.0833,159545.6667,165335.5,174881.25,187540.25,200874.9167
"Pueblo, CO",Msa,CO,129527.75,124664.3333,122039.0833,124575.1667,127144.6667,133270.3333,144891.5833,156442.9167,173531.1667,191875.9167
"Billings, MT",Msa,MT,202276.5,203476.75,207280.25,218389.5833,234380.4167,243081,241005.5833,245683.1667,251107.6667,261186.8333
"Bowling Green, KY",Msa,KY,126505.75,123619.5,123759.5,124757.5,127353.5,132051.5,139864.75,149992.3333,160360.0833,168444.5
"Bend, OR",Msa,OR,231425.1667,213389.5,217945.25,257891.0833,291657.5,318551.6667,347502.1667,374143.4167,401620.75,423139.9167
"Albany, GA",Msa,GA,87967.16667,82805.91667,80148.58333,83186.58333,88309.41667,93048.41667,97709.41667,101839.8333,106814.25,110848.25
"Vineland, NJ",Msa,NJ,149048.75,144894.25,140259.4167,138568.0833,136300.8333,134071.3333,139767.5833,140871.0833,142301.1667,140569.6667
"Niles, MI",Msa,MI,153709,145524,139290.5833,143101.75,150299.9167,154298.1667,154450.1667,160333.0833,170645.3333,181404.4167
"Kahului, HI",Msa,HI,591876.8333,575282.1667,561096.0833,581607.9167,572635.5833,588415.9167,608313.8333,642144.9167,685571.5,716685.5833
"Ottawa, IL",Msa,IL,106472.9167,102593.3333,100366.0833,101110.9167,103817.4167,102740,105606.0833,108896.6667,111715.5,114467.6667
"State College, PA",Msa,PA,250926.3333,242780.1667,249600.9167,214436.3333,207374.0833,214435.9167,221849.9167,227951.0833,237499.25,250320.9167
"Bangor, ME",Msa,ME,141933.4167,138721.8333,137064.75,137141.4167,129543.5833,134662.3333,139159.75,142856.0833,149980.8333,155516.1667
"Alexandria, LA",Msa,LA,138874.25,138444.5,141243.4167,144416.5,146717.3333,152452.75,156620,159341.0833,162674.25,159085.8333
"Decatur, AL",Msa,AL,95804.75,94264.16667,96167.33333,107148.3333,112325.5833,114387.9167,118541.75,122510.9167,126112.4167,133628.9167
"Hanford, CA",Msa,CA,162298.4167,141369.1667,141527.1667,155601.9167,175702.1667,185418.5833,198080.5833,212833.9167,222526.6667,233161.0833
"Iowa City, IA",Msa,IA,183574.4167,182433.9167,183790.5,187508.4167,193901.4167,200479.25,204944.4167,213486.6667,222713.1667,228027
"Rocky Mount, NC",Msa,NC,102637.9167,97249.83333,96690.5,96948.91667,98676.58333,99332.91667,101257.0833,103929.5833,107216.5833,112110.3333
"Monroe, MI",Msa,MI,134676.5,126182.6667,124447.6667,125403.6667,139137,149688.6667,156146.5,161123.6667,169292.3333,177887
"Wichita Falls, TX",Msa,TX,92379.33333,91139.75,89589.16667,91093.58333,93885.25,95802,97943.5,101074.1667,104775.9167,107092.1667
"Burlington, NC",Msa,NC,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,161121.0833
"Madera, CA",Msa,CA,155029,151255.5,152903.6667,175301.5833,205591.1667,214121,226707.6667,246733.5,268773,278226.6667
"Jefferson City, MO",Msa,MO,130455.3333,124447,126241.8333,129360,128390.5,133378.0833,139870.1667,143653.8333,152703.3333,159694.75
"Chambersburg, PA",Msa,PA,173038.4167,158772.5833,155482.8333,158220.8333,161448.6667,162197.9167,162242.75,167533.5,177919.5,182672.6667
"Texarkana, TX",Msa,TX,75249.16667,74930.41667,77149.41667,81646.25,86943.5,90735.41667,94592.16667,98732.83333,102942.9167,108139.1667
"Elizabethtown, KY",Msa,KY,134966.3333,131702.75,127027.8333,123209.0833,126929.8333,130070.75,131467.8333,139652.1667,145201.0833,152639.5
"Pottsville, PA",Msa,PA,80155.33333,72857.91667,74503.08333,75699.16667,75986.08333,75882.5,75914.5,78457.5,80268,83361.83333
"Wheeling, OH",Msa,OH,72067.25,71305.58333,71319.25,73223.25,76720.41667,80565.08333,84657.83333,88654.25,94091,99911.5
"Florence, AL",Msa,AL,99233.4,97481.66667,96482.33333,101183.5,103135.8333,104589.6667,106157.5833,109553.6667,113947.9167,118302.3333
"Grand Junction, CO",Msa,CO,213000.1667,187964.8333,182742.8333,191207.1667,196275.4167,200653.75,213823.5,224702.0833,245360.1667,261958.25
"Concord, NH",Msa,NH,217257.8333,210928.9167,211953,211863.3333,219102.5,219563.9167,230492.1667,244946.9167,258643.75,268720.0833
"Dothan, AL",Msa,AL,118219.3333,111646.25,109369.1667,107439.1667,107863.25,110000.8333,112259.25,114950.9167,117235.4167,119432.0833
"Santa Fe, NM",Msa,NM,318671.3333,294871.5,285289.1667,289950.8333,300482.5833,308171.5833,320878.9167,333870.4167,342536.3333,377185.9167
"Johnstown, PA",Msa,PA,77142.58333,75954.25,75774.25,76840.33333,75639.08333,76248,76855.83333,76177.75,75557.75,78009.66667
"Traverse City, MI",Msa,MI,150893.6667,144696.5,152078.25,169366.1667,180216.8333,189288.0833,199196.5833,214495.5,233795.1667,242646.4167
"Hattiesburg, MS",Msa,MS,#DIV/0!,#DIV/0!,124656.6667,123986.9167,124861.8333,128088.4167,130900.3333,134140.4167,138824,143756.6667
"Dalton, GA",Msa,GA,108781.1667,100939.75,96562.66667,100541.5833,107442.4167,113329.1667,118723.1667,125498.75,133074.9167,141653.1667
"Midland, TX",Msa,TX,160870.5833,164791.9167,178787.5,196247.9167,212304.6667,215258.1667,209117.8333,216339.5,239972.4167,267039.9167
"Homosassa Springs, FL",Msa,FL,124085.9167,110500.6667,104177.4167,107795.5833,109860.1667,118500.3333,127146.6667,141224.9167,155198.1667,163112.25
"Auburn, AL",Msa,AL,170660.5833,162214.5,160924.6667,158683.75,159804.9167,163040.0833,167437.8333,176742.6667,190500.5833,200280.6667
"Valdosta, GA",Msa,GA,112826.0833,105794.8333,102436,106960.5833,113962.5833,120927.5,117285,116821.9167,120922.3333,125544.0833
"Coeur d'Alene, ID",Msa,ID,209241.9167,186671.5,191631.6667,210817.3333,227110.75,235841.9167,253382.5,273880.25,307337,340757.1667
"Springfield, OH",Msa,OH,96950.25,92495.83333,94927,91589.25,93543.58333,96382,100273.25,107820.9167,113565.0833,119458.0833
"St. George, UT",Msa,UT,211307.1667,205056.25,210286,231035.5,247959.6667,255345.4167,267260.4167,285602.0833,314867.8333,333572.4167
"Vero Beach, FL",Msa,FL,152915.5,137949.9167,133997.4167,149228.8333,162511.6667,176545.6667,193585.1667,210668.8333,226960.0833,233840.5833
"Odessa, TX",Msa,TX,101978.0833,109337,115268.5,125240.1667,139862.3333,152565.4167,164552.25,171496.25,181095.1667,192437.9167
"Napa, CA",Msa,CA,399004.75,375412,379245.6667,467015.6667,536065.25,571913.0833,619538.9167,650176.6667,684609.4167,701769.75
"Tupelo, MS",Msa,MS,#DIV/0!,#DIV/0!,100185.9167,100971,103417.5833,107041.25,111015.3333,113743.25,116556.4167,120965.1667
"Battle Creek, MI",Msa,MI,90480.83333,87782.08333,86981.33333,87814,91044.16667,97474.75,100889.3333,105257.9167,111208.0833,119149.5
"Jamestown, NY",Msa,NY,87586.83333,87274.41667,86856.08333,86938.5,87931.41667,88609.91667,89902.83333,91744.25,93360,100736.1667
"Eureka, CA",Msa,CA,252255.5,244193.5,225779.9167,244287.25,261125.8333,268141.0833,285469.25,312214.6667,323197.1667,327482.8333
"Rapid City, SD",Msa,SD,176015.4167,176406.6667,172521.4167,176647.5,183494.75,190078.4167,197346.9167,207148.6667,214826.25,225531.5
"Flagstaff, AZ",Msa,AZ,287662.1667,250038.1667,246831,271274.5,290360.3333,299225.0833,315160.3333,335646,353046,367404.6667
"Lumberton, NC",Msa,NC,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,77156.33333
"Wausau, WI",Msa,WI,140034.5833,131326.4167,130189.75,133545.1667,135736.25,138185.1667,143596.8333,150845,159255.5,168821.4167
"La Crosse, WI",Msa,WI,148859.25,145256.8333,143234.75,149264.5,154380.9167,159726.5833,166442.3333,177256.4167,188243.6667,198567.4167
"Lebanon, PA",Msa,PA,171590.3333,165446.1667,162042.0833,163655.8333,164380.4167,164570.8333,165313.0833,170477.5,178932.3333,186662.4167
"Idaho Falls, ID",Msa,ID,160393.1667,144123.1667,139000.8333,151274.5,154517.6667,160549.5,173479.75,188777.8333,207981.0833,233333.4167
"Sierra Vista, AZ",Msa,AZ,98848.58333,92653.16667,97371.41667,110088,118942.5833,126566.9167,131420.5833,136470.5833,142187,152491.75
"Pittsfield, MA",Msa,MA,227060.75,222084.5833,210293.4167,214569.5,216828.6667,218885.3333,221138.6667,225527.3333,231480.5,242340.75
"Lawton, OK",Msa,OK,82951.91667,81981.83333,82624.5,83149.16667,85231.33333,88070.25,90042.41667,92581.91667,92698.91667,94456.58333
"Farmington, NM",Msa,NM,98805.66667,99973.83333,101367,108325.6667,111828.5,113184.8333,113765.25,118211.75,121307.8333,128497.4167
"Jackson, TN",Msa,TN,105544.4167,97570.75,98772.33333,100297.8333,100511.5833,102528.3333,104183.4167,108483.4167,116650.5,120956.6667
"Morgantown, WV",Msa,WV,124297.9167,123034.8333,127546.5,138139,142281.9167,147031.1667,150658.5,153792,160061.25,164408.3333
"Glens Falls, NY",Msa,NY,155197.8333,154279.0833,154179.4167,159689.5,164816.8333,170654.8333,173165.6667,179009.5833,181664.5,190290.0833
"Winchester, VA",Msa,VA,193106.25,190031.9167,193373,200210.25,208446.75,210967.25,215249.75,225294.25,235268.5,243822
"St. Joseph, MO",Msa,MO,100276.75,97329.08333,96496.58333,97346,99949.66667,102956.9167,107105.25,111305,115213.1667,116650.6667
"Altoona, PA",Msa,PA,95876.75,93913,94031.33333,93609.75,104087.8333,102991.6667,105342.0833,113802.75,115902.5,116397.25
"New Bern, NC",Msa,NC,147627.9167,142464,139861.3333,140283.5,136396,135114.9167,137638,142053,146902.75,155041.6667
"Carbondale, IL",Msa,IL,101722.1667,97738.75,97698.25,90625.91667,88025.91667,91373.83333,92876.66667,95150,97793.25,100107.9167
"London, KY",Msa,KY,83369.5,80724.08333,78873.75,81179.75,83213.16667,85874.75,88629.08333,94049.25,99114.33333,101551.5833
"Logan, ID",Msa,UT,184701.0833,170911.5833,158824.8333,169741.9167,179632.5833,198991.3333,215890,234318.6667,256338.5833,278538
"Harrisonburg, VA",Msa,VA,189211.5,184565.4167,185379.3333,186381.5,190750.1667,195471.5833,199909.4167,206065.25,214252.0833,224728.5
"Beckley, WV",Msa,WV,76186.41667,74977.08333,76701.91667,78633.33333,78983.91667,80043.91667,78014.08333,78135.58333,79481.91667,80857.75
"Mansfield, OH",Msa,OH,85518.83333,81375.25,80616.41667,84653.16667,83878,90878.91667,96528.75,97461.25,107427.3333,114637.25
"Weirton, OH",Msa,OH,68754.08333,66844.66667,66905.5,67790.75,69631.75,74216,76593.33333,78294,81543.16667,85741.16667
"Goldsboro, NC",Msa,NC,116316,112328.5,110816.9167,111978.1667,115039.6667,119783.6667,125376.4167,125840.1667,128647,131421.25
"Augusta, ME",Msa,ME,145859.3333,143061.0833,142160.3333,143167.0833,144880.25,148408.9167,151325.5,154643.8333,163976.5833,171920.8333
"Hammond, LA",Msa,LA,151449.6667,144873.8333,145578.8333,146040.5833,148029.3333,153820.0833,154786.3333,159347.1667,158308.8333,158355.3333
"Jonesboro, AR",Msa,AR,104680.9167,104968.75,106403.5833,108604.9167,110626,112809.75,114927.5,119850.4167,124927.8333,129656.1667
"Sherman, TX",Msa,TX,113810.75,111723,109719,105974.3333,111277.0833,121724.5833,132177.8333,146870.1667,163927,174995.3333
"Anniston, AL",Msa,AL,91724.5,88862,87088.91667,86344.25,88614.25,90582.25,92030.75,93595.08333,96925.5,102394.5833
"Staunton, VA",Msa,VA,173227.9167,169458.1667,168906.25,170223.0833,173631.25,176707.8333,180286.5,186059.0833,192767.4167,202047.6667
"Muncie, IN",Msa,IN,74726.75,72866.91667,72412.41667,72074.41667,75789.91667,78759.83333,80934,84674.58333,90053.58333,95324.41667
"Mount Vernon, WA",Msa,WA,253929.4167,237779.75,231418.9167,234409.4167,247160.5,263995.75,291657.3333,321089.4167,355132.5833,381399.4167
"Albany, OR",Msa,OR,161606.0833,151700.75,151016.6667,162357.9167,173301.6667,184265.25,200618.6667,226462.5,254677.25,274727.9167
"Watertown, NY",Msa,NY,123690.25,126827.5833,135543.9167,136674.4167,136950.0833,135804.5,135033.5833,137420.1667,139696,142106.3333
"Williamsport, PA",Msa,PA,136805.25,135637.5833,135724.8333,137041,140309.25,145776.5,149692.1667,149607.1667,157883.6667,163634.4167
"Cleveland, TN",Msa,TN,127653.5833,125591.25,118969.8333,128451.25,133702.25,137637.4167,141183.5,149735.1667,160266.8333,167824.5
"Sheboygan, WI",Msa,WI,113336.4167,105595.4167,95195.33333,110002.25,113273.3333,117516,122878.5833,132783.5833,144232.4167,153445.3333
"Bismarck, ND",Msa,ND,181059.3333,186330.9167,204456.5,232152.4167,250552.9167,264870.5,264385.0833,264738,264662.25,264324.5
"Owensboro, KY",Msa,KY,102530,96420.41667,96207.66667,96781.83333,98388.91667,102309.0833,106530.4167,112567.75,119332.25,125352
"Dunn, NC",Msa,NC,150267.75,144580.8333,139874.75,138220.8333,148811.9167,146101.6667,149391.9167,154436.3333,157819.4167,165210.5
"Wooster, OH",Msa,OH,134736.6667,131756.25,133751.5,136739.9167,131732.1667,140232.5833,145053.5,151158.3333,159326.8333,164133.25
"Morristown, TN",Msa,TN,121705.0833,114587,112132.5,112716.6667,121106.4167,123611.5,130663.8333,135933.75,143352.3333,152426.4167
"Kankakee, IL",Msa,IL,132259.8333,127103.75,125581,125828.5833,129558.4167,128835.6667,128560.1667,131765,138000.8333,144662.3333
"Brunswick, GA",Msa,GA,166199.8333,152617.3333,147432.5,152739.0833,161264.5833,160228.5833,167715.75,175483.9167,185824.5833,192111.1667
"Ogdensburg, NY",Msa,NY,72583.83333,73287,74111,72755.5,75260.5,73861.41667,72690.33333,72039.66667,71562.16667,76916.16667
"San Angelo, TX",Msa,TX,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,123389.75,127438,131952.8333,138847.9167,147769.0833,153933.6667
"Michigan City, IN",Msa,IN,121901.75,120272,120099.5833,122269,125060.8333,127249.9167,125492.3333,130953.0833,141221.3333,150615.5833
"Holland, MI",Msa,MI,135017.75,130294.1667,124655.3333,142826,151460.25,157170.6667,163819.3333,181145.8333,192713.8333,201881.9167
"Wenatchee, WA",Msa,WA,211231.3333,200571.4167,200932.6667,216575.3333,233602.5,254518.4167,277654.9167,301750.1667,329008.6667,352654.5833
"Lawrence, KS",Msa,KS,169349.4167,169031.75,171150.5833,170884.1667,168827.6667,164636,178401.1667,189156.5,196791.3333,204658.8333
"Decatur, IL",Msa,IL,89093.08333,85330,85182.25,86193.58333,86788.66667,85596.66667,85857.58333,85330.16667,84252.16667,89379.75
"Missoula, MT",Msa,MT,254232.9167,242630.9167,248296.0833,254864.8333,265788.75,273713,284601.3333,301452,317645.75,337327.5
"Salem, OH",Msa,OH,83137.41667,80479.41667,80428,81481.83333,83621,86598.66667,89906.83333,93857.33333,98546.5,103851.4167
"Bay City, MI",Msa,MI,85723.33333,83645.83333,84246.25,89171.66667,93885.5,92553.5,94516.75,96339.33333,100755.3333,105500.6667
"Lewiston, ME",Msa,ME,153588.9167,152048.1667,149349.9167,147817,148174.25,146971.25,147599.0833,160666.5833,172513.1667,179807.75
"Roseburg, OR",Msa,OR,188981.1667,177291,168644.3333,148973.5833,160984.25,167658.1667,175668.4167,189101.8333,205105.9167,219561.25
"Sumter, SC",Msa,SC,106531.8333,102929.25,101841.0833,105253.5,109687.75,115167.6667,120559.8333,117884,122250.8333,126977.5
"Show Low, AZ",Msa,AZ,149225.75,135281.0833,142206.3333,157441.5833,167128.75,174207.4167,181931,190346.6667,204099.75,220416.75
"Meridian, MS",Msa,MS,#DIV/0!,#DIV/0!,84886.16667,84884.75,88338.25,91273.66667,93567.25,95996.08333,98955.33333,103214.8333
"Bluefield, WV",Msa,WV,65236.83333,64723.16667,65567,66766.66667,68502.91667,70261.25,72219.08333,73884.16667,76346.5,79014.83333
"Danville, VA",Msa,VA,88853.08333,87548.91667,87631.08333,88767.33333,90336.16667,92049.75,93283.91667,95434.16667,98131.83333,102078.8333
"Lima, OH",Msa,OH,94081.33333,91062.91667,89361.41667,89644.66667,90519.08333,94802.91667,97503.75,102034.25,108884.75,114629.75
"Cookeville, TN",Msa,TN,119300.9167,115972.5,113544.1667,120032.5,121787.25,125013.3333,131901.3333,137875.6667,148283.25,158361.6667
"California-Lexington Park, MD",Msa,MD,286389,274074.6667,269348.1667,279575.8333,279399.5833,273605.75,273243.0833,279150.9167,292501.8333,296301.0833
"Gadsden, AL",Msa,AL,83156.66667,81044.75,79742.91667,77092.91667,77516.08333,78854.91667,80797.25,83678.5,89110.75,92320
"Cumberland, MD",Msa,MD,78298.25,78683.33333,82365.33333,82043.5,86513.83333,90663.33333,88895.08333,91955.33333,91987.75,96644.25
"Longview, WA",Msa,WA,170990.4167,160154.1667,157902.6667,165019.25,171822.0833,185534.75,202593.5833,226060.6667,254225.0833,280661.5
"Whitewater, WI",Msa,WI,180703.4167,162793.9167,153841.6667,162418.5833,180436.0833,180411.8333,191081.5833,200934.3333,214051.8333,224341.5833
"Fond du Lac, WI",Msa,WI,110207.75,108998.25,104663.4167,108602.1667,117228.25,120833.5,120432.4167,128063.9167,134955.25,142354.6667
"Ithaca, NY",Msa,NY,189022.0833,185942.4167,185198.9167,193848.0833,206214.75,209407.25,208932.4167,216693.1667,223303.8333,220053.3333
"Ashtabula, OH",Msa,OH,98172.08333,95515,94939,92774.66667,96208,97230.58333,98734.66667,100652.0833,103896.4167,110437.75
"Gettysburg, PA",Msa,PA,211725.5,204927,203368.9167,203057.1667,204405,206977.75,195675.25,201730.4167,210961.6667,216342.3333
"Pine Bluff, AR",Msa,AR,55539.66667,55378.58333,55313.08333,55657.75,55207.41667,55997.25,57128.41667,59089.5,60230.66667,63173.91667
"Tullahoma, TN",Msa,TN,113310.75,110629.3333,109245.1667,109206.75,112994.9167,118859.6667,127791.1667,135686.8333,147601.3333,153811.75
"Richmond, KY",Msa,KY,129009.0833,129178.5833,129988.1667,129046.9167,129931.4167,133305,139811,148191.0833,155420.5833,164500.5
"Adrian, MI",Msa,MI,113310.3333,107784.4167,106590.1667,110720.9167,116382.5833,122692.0833,130946.4167,142206,150204.6667,157123.25
"Twin Falls, ID",Msa,ID,140734,130253.9167,132348.4167,139973.4167,151677.75,160528.25,172021.3333,182622.9167,199405,221494.25
"Corning, NY",Msa,NY,94333.16667,92497.91667,93574.41667,97073.91667,98543.66667,98537.16667,99001.16667,102203.5833,106800.6667,108483.4167
"Sebring, FL",Msa,FL,104459.0833,95209.75,87650.33333,87110.16667,93153.25,101575.8333,110227,122164.6667,132380.4167,141478.8333
"Truckee, CA",Msa,CA,349889.25,314299.6667,296584.6667,335225.0833,387790.8333,386750.5,410438.1667,442085.5833,467330.0833,477006.8333
"Paducah, KY",Msa,KY,89616,91415,92573.41667,90151.16667,91947.5,96127.25,98955.58333,101500.5833,106220.5833,111445.0833
